lemma,category,gender,notes,source
alt,adjective,,,cefr_a1
aufgeführt,adjective,,,cefr_a1
ausländisch,adjective,,,cefr_a1
beruflich,adjective,,,cefr_a1
beschrieben,adjective,,,cefr_a1
blau,adjective,,,cefr_a1
dritter,adjective,,,cefr_a1
eigen,adjective,,,cefr_a1
einfach,adjective,,,cefr_a1
eingerückt,adjective,,,cefr_a1
elementar,adjective,,,cefr_a1
erster,adjective,,,cefr_a1
europäisch,adjective,,,cefr_a1
folgend,adjective,,,cefr_a1
freundlich,adjective,,,cefr_a1
geehrt,adjective,,,cefr_a1
gefordert,adjective,,,cefr_a1
geschrieben,adjective,,,cefr_a1
gesprochen,adjective,,,cefr_a1
gleich,adjective,,,cefr_a1
groß,adjective,,,cefr_a1
gut,adjective,,,cefr_a1
günstig,adjective,,,cefr_a1
idiomatisch,adjective,,,cefr_a1
klein,adjective,,,cefr_a1
kulturell,adjective,,,cefr_a1
kurz,adjective,,,cefr_a1
letzter,adjective,,,cefr_a1
lexikalisch,adjective,,,cefr_a1
liegend,adjective,,,cefr_a1
linker,adjective,,,cefr_a1
neu,adjective,,,cefr_a1
notwendig,adjective,,,cefr_a1
nächster,adjective,,,cefr_a1
persönliche,adjective,,,cefr_a1
privat,adjective,,,cefr_a1
rechter,adjective,,,cefr_a1
rquezn,adjective,,,cefr_a1
ruhig,adjective,,,cefr_a1
schlecht,adjective,,,cefr_a1
schwer,adjective,,,cefr_a1
schön,adjective,,,cefr_a1
technisch,adjective,,,cefr_a1
vierter,adjective,,,cefr_a1
vorliegend,adjective,,,cefr_a1
wichtig,adjective,,,cefr_a1
zentral,adjective,,,cefr_a1
zweiter,adjective,,,cefr_a1
öffentlich,adjective,,,cefr_a1
österreichisch,adjective,,,cefr_a1
abend,adverb,,,cefr_a1
aktiv,adverb,,,cefr_a1
allein,adverb,,,cefr_a1
also,adverb,,,cefr_a1
alt,adverb,,,cefr_a1
ander,adverb,,,cefr_a1
anders,adverb,,,cefr_a1
arbeitslos,adverb,,,cefr_a1
auch,adverb,,,cefr_a1
ausländisch,adverb,,,cefr_a1
automatisch,adverb,,,cefr_a1
außerdem,adverb,,,cefr_a1
bald,adverb,,,cefr_a1
bar,adverb,,,cefr_a1
beispielsweise,adverb,,,cefr_a1
bekannt,adverb,,,cefr_a1
billig,adverb,,,cefr_a1
bisschen,adverb,,,cefr_a1
bitte,adverb,,,cefr_a1
bitter,adverb,,,cefr_a1
blau,adverb,,,cefr_a1
breit,adverb,,,cefr_a1
böse,adverb,,,cefr_a1
circa,adverb,,,cefr_a1
da,adverb,,,cefr_a1
dabei,adverb,,,cefr_a1
daneben,adverb,,,cefr_a1
dann,adverb,,,cefr_a1
daran,adverb,,,cefr_a1
darunter,adverb,,,cefr_a1
dazu,adverb,,,cefr_a1
deshalb,adverb,,,cefr_a1
didaktisch,adverb,,,cefr_a1
dort,adverb,,,cefr_a1
dorthin,adverb,,,cefr_a1
draußen,adverb,,,cefr_a1
drück,adverb,,,cefr_a1
eignen,adverb,,,cefr_a1
eilig,adverb,,,cefr_a1
einfach,adverb,,,cefr_a1
einmal,adverb,,,cefr_a1
einundzwanzig,adverb,,,cefr_a1
erschließbar,adverb,,,cefr_a1
erst,adverb,,,cefr_a1
erstmals,adverb,,,cefr_a1
erziehungs,adverb,,,cefr_a1
etwa,adverb,,,cefr_a1
europäisch,adverb,,,cefr_a1
falsch,adverb,,,cefr_a1
fertig,adverb,,,cefr_a1
finnisch,adverb,,,cefr_a1
fliegst,adverb,,,cefr_a1
frei,adverb,,,cefr_a1
freitags,adverb,,,cefr_a1
fremd,adverb,,,cefr_a1
früh,adverb,,,cefr_a1
ganz,adverb,,,cefr_a1
gelb,adverb,,,cefr_a1
gemeinsamer,adverb,,,cefr_a1
gerade,adverb,,,cefr_a1
geradeaus,adverb,,,cefr_a1
gern,adverb,,,cefr_a1
gerne,adverb,,,cefr_a1
gestern,adverb,,,cefr_a1
gib,adverb,,,cefr_a1
gleich,adverb,,,cefr_a1
glücklich,adverb,,,cefr_a1
grau,adverb,,,cefr_a1
groß,adverb,,,cefr_a1
grün,adverb,,,cefr_a1
gut,adverb,,,cefr_a1
gültig,adverb,,,cefr_a1
günstig,adverb,,,cefr_a1
halb,adverb,,,cefr_a1
hell,adverb,,,cefr_a1
her,adverb,,,cefr_a1
heran,adverb,,,cefr_a1
herzlich,adverb,,,cefr_a1
heute,adverb,,,cefr_a1
hier,adverb,,,cefr_a1
hin,adverb,,,cefr_a1
hingegen,adverb,,,cefr_a1
hinten,adverb,,,cefr_a1
hoch,adverb,,,cefr_a1
häufig,adverb,,,cefr_a1
immer,adverb,,,cefr_a1
interessiert,adverb,,,cefr_a1
international,adverb,,,cefr_a1
ja,adverb,,,cefr_a1
jetzt,adverb,,,cefr_a1
jung,adverb,,,cefr_a1
kalt,adverb,,,cefr_a1
kaputt,adverb,,,cefr_a1
klar,adverb,,,cefr_a1
klein,adverb,,,cefr_a1
komm,adverb,,,cefr_a1
krank,adverb,,,cefr_a1
kulturell,adverb,,,cefr_a1
kurz,adverb,,,cefr_a1
lang,adverb,,,cefr_a1
lange,adverb,,,cefr_a1
langsam,adverb,,,cefr_a1
ledig,adverb,,,cefr_a1
leicht,adverb,,,cefr_a1
leider,adverb,,,cefr_a1
leise,adverb,,,cefr_a1
letzt,adverb,,,cefr_a1
lieb,adverb,,,cefr_a1
links,adverb,,,cefr_a1
lustig,adverb,,,cefr_a1
magst,adverb,,,cefr_a1
mal,adverb,,,cefr_a1
mehr,adverb,,,cefr_a1
meist,adverb,,,cefr_a1
meistens,adverb,,,cefr_a1
mexikanisch,adverb,,,cefr_a1
modern,adverb,,,cefr_a1
morgen,adverb,,,cefr_a1
morgens,adverb,,,cefr_a1
männlich,adverb,,,cefr_a1
möglich,adverb,,,cefr_a1
müde,adverb,,,cefr_a1
neu,adverb,,,cefr_a1
neunzehnhundertneunundneunzig,adverb,,,cefr_a1
nie,adverb,,,cefr_a1
nimm,adverb,,,cefr_a1
noch,adverb,,,cefr_a1
normal,adverb,,,cefr_a1
nur,adverb,,,cefr_a1
nächst,adverb,,,cefr_a1
oben,adverb,,,cefr_a1
oft,adverb,,,cefr_a1
passiv,adverb,,,cefr_a1
pünktlich,adverb,,,cefr_a1
raus,adverb,,,cefr_a1
