text,norm,category,lemma,source
GOETHE-ZERTIFIKAT,goethe-zertifikat,proper noun,goethe-zertifikat,docs/cefr/goethe_a1_wortliste.pdf
Wortgruppenliste,wortgruppenliste,noun,wortgruppenlist,docs/cefr/goethe_a1_wortliste.pdf
Literatur,literatur,noun,literatur,docs/cefr/goethe_a1_wortliste.pdf
VS,vs,proper noun,vs,docs/cefr/goethe_a1_wortliste.pdf
Die,die,article,der,docs/cefr/goethe_a1_wortliste.pdf
vorliegende,vorliegende,adjective,vorliegend,docs/cefr/goethe_a1_wortliste.pdf
Publikation,publikation,noun,publikation,docs/cefr/goethe_a1_wortliste.pdf
enthält,enthält,verb,enthalten,docs/cefr/goethe_a1_wortliste.pdf
zu,zu,preposition,zu,docs/cefr/goethe_a1_wortliste.pdf
Deutschprüfung,deutschprüfung,noun,deutschprüfung,docs/cefr/goethe_a1_wortliste.pdf
Start,start,noun,start,docs/cefr/goethe_a1_wortliste.pdf
von,von,preposition,von,docs/cefr/goethe_a1_wortliste.pdf
Auslandsvertretungen,auslandsvertretungen,noun,auslandsvertretung,docs/cefr/goethe_a1_wortliste.pdf
und,und,conjunction,und,docs/cefr/goethe_a1_wortliste.pdf
Ausländerbe,ausländerbe,proper noun,ausländerbe,docs/cefr/goethe_a1_wortliste.pdf
hörden,hörden,verb,hörden,docs/cefr/goethe_a1_wortliste.pdf
als,als,preposition,als,docs/cefr/goethe_a1_wortliste.pdf
Nachweis,nachweis,noun,nachweis,docs/cefr/goethe_a1_wortliste.pdf
im,im,preposition,in,docs/cefr/goethe_a1_wortliste.pdf
Rahmen,rahmen,noun,rahmen,docs/cefr/goethe_a1_wortliste.pdf
Ehegattennachzugs,ehegattennachzugs,proper noun,ehegattennachzugs,docs/cefr/goethe_a1_wortliste.pdf
anerkannt,anerkannt,verb,anerkennen,docs/cefr/goethe_a1_wortliste.pdf
ist,ist,verb,sein,docs/cefr/goethe_a1_wortliste.pdf
Es,es,pronoun,es,docs/cefr/goethe_a1_wortliste.pdf
handelt,handelt,verb,handeln,docs/cefr/goethe_a1_wortliste.pdf
sich,sich,pronoun,sich,docs/cefr/goethe_a1_wortliste.pdf
um,um,preposition,um,docs/cefr/goethe_a1_wortliste.pdf
einen,einen,article,ein,docs/cefr/goethe_a1_wortliste.pdf
Auszug,auszug,noun,auszug,docs/cefr/goethe_a1_wortliste.pdf
aus,aus,preposition,aus,docs/cefr/goethe_a1_wortliste.pdf
für,für,preposition,für,docs/cefr/goethe_a1_wortliste.pdf
Erwachsene,erwachsene,noun,erwachsene,docs/cefr/goethe_a1_wortliste.pdf
Prüfungsziele,prüfungsziele,noun,prüfungsziel,docs/cefr/goethe_a1_wortliste.pdf
Testbeschrei,testbeschrei,noun,testbeschrei,docs/cefr/goethe_a1_wortliste.pdf
bung,bung,noun,bung,docs/cefr/goethe_a1_wortliste.pdf
erstmals,erstmals,adverb,erstmals,docs/cefr/goethe_a1_wortliste.pdf
herausgegeben,herausgegeben,verb,herausgeben,docs/cefr/goethe_a1_wortliste.pdf
Goethe-Institut,goethe-institut,proper noun,goethe-institut,docs/cefr/goethe_a1_wortliste.pdf
Weiterbildungs-Test,weiterbildungs-test,noun,weiterbildungs-test,docs/cefr/goethe_a1_wortliste.pdf
systeme,systeme,noun,system,docs/cefr/goethe_a1_wortliste.pdf
GmbH,gmbh,noun,gmbh,docs/cefr/goethe_a1_wortliste.pdf
heute,heute,adverb,heute,docs/cefr/goethe_a1_wortliste.pdf
telc,telc,adverb,telc,docs/cefr/goethe_a1_wortliste.pdf
Jahr,jahr,noun,jahr,docs/cefr/goethe_a1_wortliste.pdf
Prüfung,prüfung,noun,prüfung,docs/cefr/goethe_a1_wortliste.pdf
dokumentiert,dokumentiert,verb,dokumentieren,docs/cefr/goethe_a1_wortliste.pdf
erste,erste,adjective,erster,docs/cefr/goethe_a1_wortliste.pdf
Stufe,stufe,noun,stufe,docs/cefr/goethe_a1_wortliste.pdf
Gemeinsamen,gemeinsamen,verb,gemeinsam,docs/cefr/goethe_a1_wortliste.pdf
europäischen,europäischen,adjective,europäisch,docs/cefr/goethe_a1_wortliste.pdf
Referenzrahmen,referenzrahmen,noun,referenzrahmen,docs/cefr/goethe_a1_wortliste.pdf
beschriebenen,beschriebenen,adjective,beschrieben,docs/cefr/goethe_a1_wortliste.pdf
sechsstufigen,sechsstufigen,noun,sechsstufig,docs/cefr/goethe_a1_wortliste.pdf
Kompetenzskala,kompetenzskala,proper noun,kompetenzskala,docs/cefr/goethe_a1_wortliste.pdf
bezeichnet,bezeichnet,verb,bezeichnen,docs/cefr/goethe_a1_wortliste.pdf
Fähigkeit,fähigkeit,noun,fähigkeit,docs/cefr/goethe_a1_wortliste.pdf
elementaren,elementaren,adjective,elementar,docs/cefr/goethe_a1_wortliste.pdf
Sprachbeherrschung,sprachbeherrschung,noun,sprachbeherrschung,docs/cefr/goethe_a1_wortliste.pdf
Liste,liste,noun,liste,docs/cefr/goethe_a1_wortliste.pdf
Wortgruppen,wortgruppen,noun,wortgruppe,docs/cefr/goethe_a1_wortliste.pdf
Wörter,wörter,noun,wort,docs/cefr/goethe_a1_wortliste.pdf
Lernende,lernende,noun,lernende,docs/cefr/goethe_a1_wortliste.pdf
auf,auf,preposition,auf,docs/cefr/goethe_a1_wortliste.pdf
dieser,dieser,pronoun,dieser,docs/cefr/goethe_a1_wortliste.pdf
Sprachkompetenz,sprachkompetenz,noun,sprachkompetenz,docs/cefr/goethe_a1_wortliste.pdf
beherr,beherr,noun,beherr,docs/cefr/goethe_a1_wortliste.pdf
schen,schen,verb,schen,docs/cefr/goethe_a1_wortliste.pdf
sollten,sollten,verb,sollen,docs/cefr/goethe_a1_wortliste.pdf
Alle,alle,pronoun,alle,docs/cefr/goethe_a1_wortliste.pdf
aufgeführten,aufgeführten,adjective,aufgeführt,docs/cefr/goethe_a1_wortliste.pdf
passiv,passiv,adverb,passiv,docs/cefr/goethe_a1_wortliste.pdf
verstanden,verstanden,verb,verstehen,docs/cefr/goethe_a1_wortliste.pdf
werden,werden,verb,werden,docs/cefr/goethe_a1_wortliste.pdf
wenn,wenn,conjunction,wenn,docs/cefr/goethe_a1_wortliste.pdf
sie,sie,pronoun,sie,docs/cefr/goethe_a1_wortliste.pdf
Lernenden,lernenden,noun,lernenden,docs/cefr/goethe_a1_wortliste.pdf
gesprochenen,gesprochenen,adjective,gesprochen,docs/cefr/goethe_a1_wortliste.pdf
oder,oder,conjunction,oder,docs/cefr/goethe_a1_wortliste.pdf
geschriebenen,geschriebenen,adjective,geschrieben,docs/cefr/goethe_a1_wortliste.pdf
Texten,texten,noun,text,docs/cefr/goethe_a1_wortliste.pdf
begeg,begeg,verb,begeg,docs/cefr/goethe_a1_wortliste.pdf
nen,nen,article,nen,docs/cefr/goethe_a1_wortliste.pdf
aktiver,aktiver,adverb,aktiv,docs/cefr/goethe_a1_wortliste.pdf
etwa,etwa,adverb,etwa,docs/cefr/goethe_a1_wortliste.pdf
Hälfte,hälfte,noun,hälfte,docs/cefr/goethe_a1_wortliste.pdf
circa,circa,adverb,circa,docs/cefr/goethe_a1_wortliste.pdf
Verfügung,verfügung,noun,verfügung,docs/cefr/goethe_a1_wortliste.pdf
stehen,stehen,verb,stehen,docs/cefr/goethe_a1_wortliste.pdf
Zunächst,zunächst,adverb,zunächst,docs/cefr/goethe_a1_wortliste.pdf
genannt,genannt,verb,nennen,docs/cefr/goethe_a1_wortliste.pdf
Niveau,niveau,noun,niveau,docs/cefr/goethe_a1_wortliste.pdf
vor,vor,preposition,vor,docs/cefr/goethe_a1_wortliste.pdf
gesehen,gesehen,verb,sehen,docs/cefr/goethe_a1_wortliste.pdf
folgen,folgen,verb,folgen,docs/cefr/goethe_a1_wortliste.pdf
häufig,häufig,adverb,häufig,docs/cefr/goethe_a1_wortliste.pdf
gebrauchte,gebrauchte,verb,gebraucht,docs/cefr/goethe_a1_wortliste.pdf
wie,wie,preposition,wie,docs/cefr/goethe_a1_wortliste.pdf
Zahlen,zahlen,noun,zahl,docs/cefr/goethe_a1_wortliste.pdf
Wochentage,wochentage,noun,wochentage,docs/cefr/goethe_a1_wortliste.pdf
Monate,monate,noun,monat,docs/cefr/goethe_a1_wortliste.pdf
Daran,daran,adverb,daran,docs/cefr/goethe_a1_wortliste.pdf
schließt,schließt,verb,schließen,docs/cefr/goethe_a1_wortliste.pdf
Zusammenstellung,zusammenstellung,noun,zusammenstellung,docs/cefr/goethe_a1_wortliste.pdf
einzelnen,einzelnen,pronoun,einzeln,docs/cefr/goethe_a1_wortliste.pdf
an,an,preposition,an,docs/cefr/goethe_a1_wortliste.pdf
Bedeutung,bedeutung,noun,bedeutung,docs/cefr/goethe_a1_wortliste.pdf
durch,durch,preposition,durch,docs/cefr/goethe_a1_wortliste.pdf
Beispielsätze,beispielsätze,noun,beispielsätz,docs/cefr/goethe_a1_wortliste.pdf
illustriert,illustriert,verb,illustrieren,docs/cefr/goethe_a1_wortliste.pdf
Darunter,darunter,adverb,darunter,docs/cefr/goethe_a1_wortliste.pdf
finden,finden,verb,finden,docs/cefr/goethe_a1_wortliste.pdf
wichtige,wichtige,adjective,wichtig,docs/cefr/goethe_a1_wortliste.pdf
Redewen,redewen,proper noun,redewe,docs/cefr/goethe_a1_wortliste.pdf
dungen,dungen,noun,dung,docs/cefr/goethe_a1_wortliste.pdf
idiomatische,idiomatische,adjective,idiomatisch,docs/cefr/goethe_a1_wortliste.pdf
Ausdrücke,ausdrücke,noun,ausdruck,docs/cefr/goethe_a1_wortliste.pdf
denen,denen,pronoun,der,docs/cefr/goethe_a1_wortliste.pdf
Neuankömmlinge,neuankömmlinge,noun,neuankömmling,docs/cefr/goethe_a1_wortliste.pdf
Deutschland,deutschland,proper noun,deutschland,docs/cefr/goethe_a1_wortliste.pdf
sofort,sofort,adverb,sofort,docs/cefr/goethe_a1_wortliste.pdf
begegnen,begegnen,verb,begegnen,docs/cefr/goethe_a1_wortliste.pdf
Wiedersehen,wiedersehen,noun,wiedersehen,docs/cefr/goethe_a1_wortliste.pdf
Guten,guten,noun,gute,docs/cefr/goethe_a1_wortliste.pdf
Appetit,appetit,noun,appetit,docs/cefr/goethe_a1_wortliste.pdf
zwischen,zwischen,preposition,zwischen,docs/cefr/goethe_a1_wortliste.pdf
Haupt,haupt,noun,haupt,docs/cefr/goethe_a1_wortliste.pdf
ableitbaren,ableitbaren,verb,ableitbaren,docs/cefr/goethe_a1_wortliste.pdf
Nebeneinträgen,nebeneinträgen,noun,nebeneinträge,docs/cefr/goethe_a1_wortliste.pdf
unter,unter,preposition,unter,docs/cefr/goethe_a1_wortliste.pdf
